tconst	averageRating	numVotes
tt8783146	2.4	885
tt0079573	2.7	885
tt1582213	2.5	884
tt1270792	2.3	883
tt1869362	2.9	883
tt2082408	2.8	881
tt9659470	2.1	880
tt5575918	2.0	879
tt8760550	2.3	876
tt0072173	2.7	876
tt0040500	2.2	876
tt0219096	2.3	872
tt2592464	2.9	872
tt4969672	2.9	870
tt0494249	2.9	869
tt7781732	2.7	868
tt5582876	2.7	866
tt0084132	2.9	865
tt1815871	2.4	864
tt1443593	2.2	863
tt1341970	2.3	862
tt0098965	2.4	861
tt8707008	2.4	860
tt0847166	2.8	860
tt6735034	2.2	860
tt2559468	2.4	859
tt0439834	2.3	855
tt0207374	2.5	855
tt3530690	2.7	850
tt4421344	2.3	849
tt1342115	2.8	849
tt3369676	2.4	847
tt0494228	2.8	845
tt1027698	2.5	844
tt4363582	2.5	843
tt2751140	2.8	841
tt4530832	2.9	840
tt3309662	2.0	839
tt3194388	2.8	838
tt4528786	2.7	836
tt12942958	2.3	834
tt0129855	2.4	833
tt0339421	2.2	830
tt12969958	2.1	830
tt0349193	2.6	829
tt0829421	2.7	828
tt0428081	2.4	827
tt9341628	2.7	826
tt3640272	2.8	825
tt1893371	2.3	825
tt0056207	2.2	824
tt2425866	2.4	823
tt0088896	2.3	821
tt7008310	2.2	819
tt0060270	2.5	819
tt0808288	2.4	818
tt5636234	2.1	816
tt10665470	2.5	816
tt0851471	2.8	814
tt0421237	2.9	812
tt1370426	2.7	812
tt0270393	2.8	811
tt13036930	2.5	811
tt16223874	2.6	811
tt14912006	2.7	810
tt0475970	2.5	808
tt0290884	2.4	808
tt0484964	2.0	808
tt3312936	2.7	807
tt0481509	2.7	805
tt0111492	2.8	805
tt7642890	2.1	805
tt5988966	2.6	804
tt2387416	2.7	802
tt0780126	2.8	801
tt2396200	2.3	801
tt12306824	2.4	801
tt2149137	2.3	800
tt1737742	2.6	799
tt2184207	2.1	799
tt1190074	2.7	798
tt0040530	2.4	797
tt0473393	2.5	797
tt0904112	2.8	797
tt8444450	2.8	791
tt5820898	2.6	790
tt5820906	2.5	789
tt10238788	2.8	788
tt0790746	2.3	787
tt5712718	2.8	785
tt0316946	2.9	785
tt9668598	2.7	784
tt0095738	2.7	784
tt0760157	2.9	784
tt12440242	2.3	784
tt6172666	2.4	783
tt0069091	2.8	780
tt0179458	2.1	780
tt6574700	2.7	780
tt3566370	2.7	779
tt2095008	2.8	779
tt3501492	2.6	779
tt0068291	2.8	778
tt1259798	2.7	778
tt20204164	2.3	778
tt0460628	2.6	776
tt5734548	2.6	776
tt0065727	2.5	774
tt0758755	2.2	773
tt0078317	2.8	773
tt4117510	2.5	773
tt0903622	2.5	772
tt2748088	2.4	772
tt5956284	2.2	770
tt4325152	2.1	769
tt1698651	2.4	767
tt11518196	2.0	766
tt0119423	2.5	765
tt11378154	2.7	764
tt5087564	2.7	764
tt2328490	2.6	761
tt1523584	2.9	756
tt0818095	2.0	756
tt0082815	2.6	755
tt0071666	2.7	755
tt3350436	2.6	754
tt1916763	2.2	753
tt14779456	2.8	753
tt10309088	2.4	752
tt6803180	2.9	752
tt0374474	2.4	751
tt13296032	2.0	750
tt1087522	2.6	749
tt0809941	2.4	748
tt0372803	2.7	747
tt3101362	2.5	747
tt6580394	2.6	746
tt2794684	2.8	746
tt0175694	2.5	745
tt9227182	2.6	744
tt1023464	2.9	743
tt5990174	2.8	742
tt0327153	2.0	740
tt2609326	2.5	738
tt0496595	2.7	737
tt0431447	2.6	737
tt0845535	2.6	737
tt13199556	2.9	736
tt7343800	2.5	735
